timestamp,symbol,side,price,amount,profit,duration
2025-08-15T00:03:00,,buy,118615.64,0.001,,
2025-08-15T00:04:00,,sell,4540.69,0.001,-114.07495,60.0
2025-08-15T00:04:00,,buy,3.0911,0.001,,
2025-08-15T00:04:00,,sell,118286.24,0.001,118.2831489,0.0
2025-08-15T00:04:00,,buy,0.033271,0.001,,
2025-08-15T00:04:00,,sell,3.7692,0.001,0.0037359290000000002,0.0
2025-08-15T00:07:00,,buy,842.03,0.001,,
2025-08-15T00:07:00,,sell,0.9987,0.001,-0.8410313,0.0
2025-08-15T00:10:00,,buy,4567.42,0.001,,
2025-08-15T00:10:00,,sell,3.0812,0.001,-4.564338800000001,0.0
2025-08-15T00:10:00,,buy,192.78,0.001,,
2025-08-15T00:10:00,,sell,0.9287,0.001,-0.1918513,0.0
2025-08-15T00:13:00,,buy,3.0918,0.001,,
2025-08-15T00:13:00,,sell,118603.0,0.001,118.5999082,0.0
2025-08-15T00:17:00,,buy,0.9997,0.001,,
2025-08-15T00:17:00,,sell,0.033435,0.001,-0.0009662650000000001,0.0
2025-08-15T00:36:00,,buy,0.9994,0.001,,
2025-08-15T00:36:00,,sell,0.0332,0.001,-0.0009662,0.0
2025-08-15T00:39:00,,buy,0.936,0.001,,
2025-08-15T00:39:00,,sell,0.22432,0.001,-0.0007116800000000001,0.0
2025-08-15T00:41:00,,buy,0.22463,0.001,,
2025-08-15T00:41:00,,sell,835.6,0.001,0.83537537,0.0
2025-08-15T00:42:00,,buy,192.84,0.001,,
2025-08-15T00:42:00,,sell,0.935,0.001,-0.191905,0.0
2025-08-15T00:43:00,,buy,118591.37,0.001,,
2025-08-15T00:43:00,,sell,192.84,0.001,-118.39853000000001,0.0
2025-08-15T00:44:00,,buy,0.033491,0.001,,
2025-08-15T00:44:00,,sell,3.7581,0.001,0.0037246090000000003,0.0
2025-08-15T00:46:00,,buy,0.9996,0.001,,
2025-08-15T00:46:00,,sell,0.033492,0.001,-0.0009661080000000001,0.0
2025-08-15T00:46:00,,buy,3.7931,0.001,,
2025-08-15T00:47:00,,sell,4573.91,0.001,4.5701169,60.0
2025-08-15T00:51:00,,buy,0.9994,0.001,,
2025-08-15T00:51:00,,sell,0.033696,0.001,-0.0009657040000000001,0.0
2025-08-15T00:57:00,,buy,0.9994,0.001,,
2025-08-15T00:57:00,,sell,0.033696,0.001,-0.0009657040000000001,0.0
2025-08-15T01:07:00,,buy,4565.67,0.001,,
2025-08-15T01:07:00,,sell,3.0779,0.001,-4.5625921,0.0
2025-08-15T01:09:00,,buy,3.78,0.001,,
2025-08-15T01:10:00,,sell,4573.0,0.001,4.5692200000000005,60.0
2025-08-15T01:14:00,,buy,840.94,0.001,,
2025-08-15T01:14:00,,sell,0.9976,0.001,-0.8399424000000001,0.0
2025-08-15T01:18:00,,buy,0.033701,0.001,,
2025-08-15T01:18:00,,sell,3.7695,0.001,0.0037357989999999997,0.0
2025-08-15T01:19:00,,buy,3.0914,0.001,,
2025-08-15T01:19:00,,sell,117994.85,0.001,117.9917586,0.0
2025-08-15T01:20:00,,buy,0.22432,0.001,,
2025-08-15T01:20:00,,sell,840.16,0.001,0.83993568,0.0
2025-08-15T01:24:00,,buy,192.86,0.001,,
2025-08-15T01:24:00,,sell,0.9213,0.001,-0.19193870000000002,0.0
2025-08-15T01:25:00,,buy,3.7848,0.001,,
2025-08-15T01:26:00,,sell,4572.59,0.001,4.5688052,60.0
2025-08-15T01:31:00,,buy,0.9219,0.001,,
2025-08-15T01:31:00,,sell,0.22516,0.001,-0.0006967400000000001,0.0
2025-08-15T01:35:00,,buy,841.54,0.001,,
2025-08-15T01:35:00,,sell,0.995,0.001,-0.840545,0.0
2025-08-15T01:48:00,,buy,117994.73,0.001,,
2025-08-15T01:48:00,,sell,193.87,0.001,-117.80086,0.0
2025-08-15T02:00:00,,buy,3.7879,0.001,,
2025-08-15T02:01:00,,sell,4604.36,0.001,4.6005721,60.0
2025-08-15T02:08:00,,buy,3.0958,0.001,,
2025-08-15T02:08:00,,sell,194.19,0.001,0.1910942,0.0
2025-08-15T02:08:00,,buy,0.9229,0.001,,
2025-08-15T02:08:00,,sell,0.9973,0.001,7.439999999999991e-05,0.0
2025-08-15T02:25:00,,buy,118583.28,0.001,,
2025-08-15T03:53:00,BTC-USD,buy,118788.98,0.0008418289305960874,,
2025-08-15T03:57:00,PENGU-USD,buy,0.034255,2919.281856663261,,
2025-08-15T03:58:00,ETH-USD,sell,4623.66,2919.281856663261,13497666.749379653,60.0
2025-08-15T04:41:00,BTC-USD,buy,118494.78,0.0008439190317075571,,
2025-08-15T04:43:00,BTC-USD,sell,118142.58,0.0008464348755546052,-0.2981143631703295,120.0
2025-08-15T04:44:00,PENGU-USD,buy,0.034232,2921.2432811404533,,
2025-08-15T04:45:00,ETH-USD,sell,4616.43,2921.2432811404533,13485615.120355224,60.0
2025-08-15T05:04:00,BTC-USD,buy,118584.56,0.0008432801032444696,,
2025-08-15T05:05:00,BTC-USD,sell,118119.01,0.0008466037769872944,-0.3941363883764374,60.0
2025-08-15T05:05:00,ETH-USD,buy,4622.85,0.021631677428426185,,
2025-08-15T05:05:00,SOL-USD,buy,195.43,0.5116921659929387,,
2025-08-15T05:06:00,BTC-USD,buy,118496.76,0.0008439049303964091,,
2025-08-15T05:07:00,BTC-USD,sell,118385.79,0.0008439049303964091,-0.09364813012609051,60.0
2025-08-15T05:34:00,ETH-USD,buy,4616.46,0.021661619509320995,,
2025-08-15T05:34:00,SOL-USD,buy,195.44,0.511665984445354,,
2025-08-15T05:44:00,BTC-USD,buy,118485.65,0.0008439840605170331,,
2025-08-15T05:44:00,ADA-USD,buy,0.923,108.34236186348862,,
2025-08-15T05:44:00,ADA-USD,sell,0.923,108.34236186348862,0.0,0.0
2025-08-15T06:27:00,BNB-USD,buy,850.61,0.11756269030460492,,
2025-08-15T06:35:00,ETH-USD,sell,850.61,0.11756269030460492,0.0,480.0
2025-08-15T06:39:00,USDC-USD,buy,0.9963,100.37137408411121,,
2025-08-15T06:40:00,DOGE-USD,buy,0.2316,431.77892918825563,,
2025-08-15T06:42:00,BTC-USD,buy,118509.49,0.000843814280189713,,
2025-08-15T06:47:00,DOGE-USD,sell,0.23059,431.77892918825563,-0.43609671848014286,420.0
2025-08-15T06:47:00,BNB-USD,sell,0.9903,100.37137408411121,-0.6022282445046678,480.0
2025-08-15T06:47:00,BNB-USD,sell,118493.44,0.000843814280189713,-0.01354321919704735,300.0
2025-08-15T07:24:00,SOL-USD,buy,197.27,0.5069194504993156,,
2025-08-15T07:25:00,SOL-USD,sell,196.81,0.5069194504993156,-0.23318294722968924,60.0
2025-08-15T07:30:00,BNB-USD,buy,850.57,0.11756821895905098,,
2025-08-15T07:31:00,ETH-USD,buy,4647.98,0.0215147225246236,,
2025-08-15T07:34:00,SOL-USD,buy,197.33,0.5067653169817058,,
2025-08-15T07:36:00,SOL-USD,sell,197.05,0.5067653169817058,-0.1418942887548782,120.0
2025-08-15T07:40:00,ETH-USD,sell,4626.96,0.0215147225246236,-0.4522394674675779,540.0
2025-08-15T07:41:00,PENGU-USD,buy,0.0339,2949.8525073746314,,
2025-08-15T07:48:00,BNB-USD,sell,846.05,0.11756821895905098,-0.5314083496949217,1080.0
2025-08-15T07:56:00,XRP-USD,buy,3.1173,32.079042761364,,
2025-08-15T07:57:00,ADA-USD,buy,0.9498,105.2853232259423,,
2025-08-15T07:59:00,ETH-USD,buy,4638.16,0.021560273901719648,,
2025-08-15T07:59:00,DOGE-USD,buy,0.23055,433.7453914552158,,
2025-08-15T08:02:00,BNB-USD,buy,848.57,0.11784531623790612,,
2025-08-15T08:03:00,HBAR-USD,buy,0.25568,391.1138923654568,,
2025-08-15T08:26:00,SOL-USD,buy,197.05,0.5074854097944684,,
2025-08-15T08:37:00,ADA-USD,sell,0.949,105.2853232259423,-0.08422825858075626,2400.0
2025-08-15T08:47:00,ETH-USD,sell,4642.24,0.021560273901719648,0.0879659175190146,2880.0
2025-08-15T08:51:00,XRP-USD,sell,3.1218,32.079042761364,0.14435569242612922,3300.0
2025-08-15T08:52:00,DOGE-USD,sell,0.23106,433.7453914552158,0.22121014964215255,3180.0
2025-08-15T08:54:00,BTC-USD,buy,118985.38,0.0008404393884357893,,
2025-08-15T08:55:00,DOGE-USD,buy,0.23136,432.2268326417704,,
2025-08-15T08:58:00,BTC-USD,sell,118802.64,0.0008404393884357893,-0.15358189384276053,240.0
2025-08-15T09:01:00,DOGE-USD,sell,0.23108,432.2268326417704,-0.12102351313969678,360.0
2025-08-15T09:02:00,SOL-USD,sell,196.95,0.5074854097944684,-0.050748540979458384,2160.0
2025-08-15T09:07:00,ETH-USD,buy,4652.88,0.021492065129554167,,
2025-08-15T09:08:00,BTC-USD,buy,118967.32,0.0008405669725097615,,
2025-08-15T09:09:00,XRP-USD,buy,3.1241,32.009218654972635,,
2025-08-15T09:12:00,XRP-USD,sell,3.1199,32.009218654972635,-0.13443871835088447,180.0
2025-08-15T09:17:00,PENGU-USD,sell,0.033731,2949.8525073746314,-0.49852507374632005,5760.0
2025-08-15T09:19:00,ETH-USD,sell,4633.03,0.021492065129554167,-0.42661749282165806,720.0
2025-08-15T09:44:00,USDC-USD,buy,0.9985,100.150225338007,,
2025-08-15T09:48:00,ADA-USD,buy,0.9457,105.74177857671566,,
2025-08-15T09:49:00,BTC-USD,sell,118642.15,0.0008405669725097615,-0.2733271624510099,2460.0
2025-08-15T09:55:00,PENGU-USD,buy,0.03375,2962.9629629629626,,
2025-08-15T10:09:00,BTC-USD,buy,118874.45,0.0008412236607614168,,
2025-08-15T10:09:00,ETH-USD,buy,4630.36,0.021596592921500707,,
2025-08-15T10:09:00,XRP-USD,buy,3.1139,32.114069173705,,
2025-08-15T10:09:00,SOL-USD,buy,195.42,0.511718350220039,,
2025-08-15T10:37:00,ADA-USD,sell,0.9504,105.74177857671566,0.49698635931056756,2940.0
2025-08-15T10:43:00,XRP-USD,sell,3.1145,32.114069173705,0.019268441504220878,2040.0
2025-08-15T10:44:00,USDC-USD,sell,0.9986,100.150225338007,0.010015022533799597,3600.0
2025-08-15T10:46:00,ADA-USD,buy,0.9547,104.74494605635279,,
2025-08-15T10:47:00,USDC-USD,buy,0.9989,100.11012113324657,,
2025-08-15T10:49:00,SOL-USD,sell,194.97,0.511718350220039,-0.2302732575990117,2400.0
2025-08-15T10:54:00,BTC-USD,sell,118769.29,0.0008412236607614168,-0.08846308016567353,2700.0
2025-08-15T11:08:00,BTC-USD,buy,118968.2,0.0008405607548908028,,
2025-08-15T11:08:00,XRP-USD,buy,3.1138,32.115100520264626,,
2025-08-15T11:08:00,USDC-USD,sell,0.9986,100.11012113324657,-0.030033036339970662,1260.0
2025-08-15T11:09:00,SOL-USD,buy,195.36,0.5118755118755118,,
2025-08-15T11:15:00,BNB-USD,sell,844.62,0.11784531623790612,-0.4654889991397345,11580.0
2025-08-15T11:16:00,XRP-USD,sell,3.109,32.115100520264626,-0.15415248249726748,480.0
2025-08-15T11:19:00,HBAR-USD,sell,0.25252,391.1138923654568,-1.235919899874842,11760.0
2025-08-15T11:20:00,BTC-USD,sell,118771.64,0.0008405607548908028,-0.16522062198133425,720.0
2025-08-15T11:41:00,XLM-USD,buy,0.4272,234.0823970037453,,
2025-08-15T11:44:00,HBAR-USD,buy,0.25308,395.13197407934246,,
2025-08-15T11:55:00,BTC-USD,buy,118999.07,0.0008403427018379219,,
2025-08-15T11:55:00,DOGE-USD,buy,0.2309,433.08791684711997,,
2025-08-15T11:57:00,XRP-USD,buy,3.1132,32.12128999100604,,
2025-08-15T12:01:00,ADA-USD,sell,0.9407,104.74494605635279,-1.4664292447889404,4500.0
2025-08-15T12:02:00,BTC-USD,sell,118789.3,0.0008403427018379219,-0.1762786885645443,420.0
2025-08-15T12:07:00,BNB-USD,buy,843.83,0.11850728227249564,,
2025-08-15T12:08:00,SOL-USD,sell,194.36,0.5118755118755118,-0.5118755118755118,3540.0
2025-08-15T12:10:00,BTC-USD,buy,118987.9,0.0008404215890859491,,
2025-08-15T12:12:00,SOL-USD,buy,194.88,0.513136288998358,,
2025-08-15T12:19:00,SOL-USD,sell,194.34,0.513136288998358,-0.2770935960591092,420.0
2025-08-15T12:20:00,ETH-USD,sell,4619.42,0.021596592921500707,-0.2362667265612091,7860.0
2025-08-15T12:20:00,DOGE-USD,sell,0.22838,433.08791684711997,-1.09138155045474,1500.0
2025-08-15T12:20:00,HBAR-USD,sell,0.2519,395.13197407934246,-0.46625572941362975,2160.0
2025-08-15T12:22:00,XRP-USD,sell,3.0993,32.12128999100604,-0.44648593087498467,1500.0
2025-08-15T12:22:00,XLM-USD,sell,0.4263,234.0823970037453,-0.21067415730337358,2460.0
2025-08-15T12:31:00,XRP-USD,buy,3.1354,31.893857243094978,,
2025-08-15T12:43:00,DOGE-USD,buy,0.23021,434.3859953955085,,
2025-08-15T12:46:00,ETH-USD,buy,4637.25,0.021564504825057954,,
2025-08-15T12:46:00,ADA-USD,buy,0.944,105.93220338983052,,
2025-08-15T12:50:00,SOL-USD,buy,194.23,0.514853524172373,,
2025-08-15T12:55:00,BNB-USD,sell,842.63,0.11850728227249564,-0.14220873872700016,2880.0
2025-08-15T12:55:00,XLM-USD,buy,0.4294,232.88309268747088,,
2025-08-15T12:57:00,HBAR-USD,buy,0.25353,394.4306393720665,,
2025-08-15T12:58:00,BTC-USD,sell,118543.67,0.0008404215890859491,-0.37334048251964774,2880.0
2025-08-15T13:00:00,XRP-USD,sell,3.115,31.893857243094978,-0.6506346877591367,1740.0
2025-08-15T13:01:00,ETH-USD,sell,4623.03,0.021564504825057954,-0.3066472586123296,900.0
2025-08-15T13:05:00,BTC-USD,buy,118916.1,0.000840929024749382,,
2025-08-15T13:08:00,BTC-USD,sell,118522.96,0.000840929024749382,-0.33060283678997154,180.0
2025-08-15T13:11:00,BNB-USD,buy,844.09,0.11847077918231468,,
2025-08-15T13:13:00,XRP-USD,buy,3.1202,32.04922761361451,,
2025-08-15T13:15:00,XLM-USD,sell,0.4278,232.88309268747088,-0.3726129482999512,1200.0
2025-08-15T13:16:00,ADA-USD,sell,0.9411,105.93220338983052,-0.3072033898304982,1800.0
2025-08-15T13:16:00,HBAR-USD,sell,0.25238,394.4306393720665,-0.45359523527787027,1140.0
2025-08-15T13:23:00,HBAR-USD,buy,0.25357,394.3684189770083,,
2025-08-15T13:32:00,USDC-USD,buy,0.9992,100.080064051241,,
2025-08-15T13:36:00,XLM-USD,buy,0.4291,233.04591004427874,,
2025-08-15T13:38:00,XLM-USD,sell,0.4257,233.04591004427874,-0.7923560941505381,120.0
2025-08-15T13:55:00,SOL-USD,sell,190.32,0.514853524172373,-2.0130772795139764,3900.0
2025-08-15T14:03:00,ADA-USD,buy,0.9448,105.84250635055038,,
2025-08-15T14:07:00,BTC-USD,buy,118238.62,0.0008457473539525411,,
2025-08-15T14:10:00,XLM-USD,buy,0.4257,234.9072116513977,,
2025-08-15T14:11:00,HBAR-USD,sell,0.25074,394.3684189770083,-1.116062625704933,2880.0
2025-08-15T14:16:00,SOL-USD,buy,191.55,0.522056904202558,,
2025-08-15T14:22:00,XRP-USD,sell,3.0798,32.04922761361451,-1.2947887955900261,4140.0
2025-08-15T14:23:00,BTC-USD,sell,117918.23,0.0008457473539525411,-0.27096899473285413,960.0
2025-08-15T14:25:00,ADA-USD,sell,0.9421,105.84250635055038,-0.28577476714647804,1320.0
2025-08-15T14:25:00,XLM-USD,sell,0.4231,234.9072116513977,-0.610758750293645,900.0
2025-08-15T14:39:00,ADA-USD,buy,0.9516,105.08617065994115,,
2025-08-15T14:44:00,ADA-USD,sell,0.9457,105.08617065994115,-0.6200084068936544,300.0
2025-08-15T14:48:00,DOGE-USD,sell,0.22538,434.3859953955085,-2.0980843577603063,7500.0
2025-08-15T14:54:00,SOL-USD,sell,187.42,0.522056904202558,-2.156095014356577,2280.0
2025-08-15T14:54:00,BNB-USD,sell,827.2,0.11847077918231468,-2.000971460389293,6180.0
2025-08-15T15:02:00,USDC-USD,sell,0.9989,100.080064051241,-0.030024019215368992,5400.0
2025-08-15T15:20:00,USDC-USD,buy,0.9997,100.03000900270081,,
